datetime,Date,Offset,Val
2023-10-10 22:00:00,20231010,22,10.9
2023-10-10 23:00:00,20231010,23,10.8
2023-10-11 00:00:00,20231010,24,13.7
2023-10-11 01:00:00,20231010,25,13.7
2023-10-11 02:00:00,20231010,26,13.6
2023-10-11 03:00:00,20231010,27,13.4
2023-10-11 04:00:00,20231010,28,13.1
2023-10-11 05:00:00,20231010,29,13.1
2023-10-11 06:00:00,20231010,30,12.9
2023-10-11 07:00:00,20231010,31,12.5
2023-10-11 08:00:00,20231010,32,12.1
2023-10-11 09:00:00,20231010,33,10.8
2023-10-11 10:00:00,20231010,34,11.1
2023-10-11 11:00:00,20231010,35,10.6
2023-10-11 12:00:00,20231010,36,10.7
2023-10-11 13:00:00,20231010,37,10.8
2023-10-11 14:00:00,20231010,38,10.9
2023-10-11 15:00:00,20231010,39,11.1
2023-10-11 16:00:00,20231010,40,11.3
2023-10-11 17:00:00,20231010,41,11.0
2023-10-11 18:00:00,20231010,42,11.5
2023-10-11 19:00:00,20231010,43,11.1
2023-10-11 20:00:00,20231010,44,10.9
2023-10-11 21:00:00,20231010,45,10.9
2023-10-11 22:00:00,20231010,46,10.8
2023-10-11 23:00:00,20231010,47,11.2
2023-10-12 00:00:00,20231010,48,14.4
2023-10-12 01:00:00,20231010,49,14.5
2023-10-12 02:00:00,20231010,50,14.5
2023-10-12 03:00:00,20231010,51,13.2
2023-10-12 04:00:00,20231010,52,12.4
2023-10-12 05:00:00,20231010,53,12.1
2023-10-12 06:00:00,20231010,54,11.9
2023-10-12 07:00:00,20231010,55,11.6
2023-10-12 08:00:00,20231010,56,11.3
2023-10-12 09:00:00,20231010,57,11.2
2023-10-12 10:00:00,20231010,58,10.1
2023-10-12 11:00:00,20231010,59,10.3
2023-10-12 12:00:00,20231010,60,10.8
2023-10-11 01:00:00,20231011,1,12.4
2023-10-11 02:00:00,20231011,2,11.7
2023-10-11 03:00:00,20231011,3,11.9
2023-10-11 04:00:00,20231011,4,11.9
2023-10-11 05:00:00,20231011,5,11.6
2023-10-11 06:00:00,20231011,6,11.3
2023-10-11 07:00:00,20231011,7,10.5
2023-10-11 08:00:00,20231011,8,10.5
2023-10-11 09:00:00,20231011,9,10.6
2023-10-11 10:00:00,20231011,10,10.5
2023-10-11 11:00:00,20231011,11,10.6
2023-10-11 12:00:00,20231011,12,10.8
2023-10-11 13:00:00,20231011,13,11.0
2023-10-11 14:00:00,20231011,14,10.8
2023-10-11 15:00:00,20231011,15,10.9
2023-10-11 16:00:00,20231011,16,12.0
2023-10-11 17:00:00,20231011,17,12.8
2023-10-11 18:00:00,20231011,18,13.5
2023-10-11 19:00:00,20231011,19,13.5
2023-10-11 20:00:00,20231011,20,14.4
2023-10-11 21:00:00,20231011,21,14.2
2023-10-11 22:00:00,20231011,22,14.3
2023-10-11 23:00:00,20231011,23,14.2
2023-10-12 00:00:00,20231011,24,10.8
2023-10-12 01:00:00,20231011,25,10.7
2023-10-12 02:00:00,20231011,26,11.0
2023-10-12 03:00:00,20231011,27,11.0
2023-10-12 04:00:00,20231011,28,10.9
2023-10-12 05:00:00,20231011,29,10.4
2023-10-12 06:00:00,20231011,30,10.3
2023-10-12 07:00:00,20231011,31,10.3
2023-10-12 08:00:00,20231011,32,10.3
2023-10-12 09:00:00,20231011,33,10.0
2023-10-12 10:00:00,20231011,34,9.9
2023-10-12 11:00:00,20231011,35,10.3
2023-10-12 12:00:00,20231011,36,10.3
2023-10-12 13:00:00,20231011,37,10.5
2023-10-12 14:00:00,20231011,38,10.5
2023-10-12 15:00:00,20231011,39,10.5
2023-10-12 16:00:00,20231011,40,10.6
2023-10-12 17:00:00,20231011,41,10.5
2023-10-12 18:00:00,20231011,42,10.8
2023-10-12 19:00:00,20231011,43,10.9
2023-10-12 20:00:00,20231011,44,11.5
2023-10-12 21:00:00,20231011,45,11.7
2023-10-12 22:00:00,20231011,46,11.4
2023-10-12 23:00:00,20231011,47,11.4
2023-10-13 00:00:00,20231011,48,11.5
2023-10-13 01:00:00,20231011,49,11.4
2023-10-13 02:00:00,20231011,50,11.2
2023-10-13 03:00:00,20231011,51,11.0
2023-10-13 04:00:00,20231011,52,11.1
2023-10-13 05:00:00,20231011,53,10.9
2023-10-13 06:00:00,20231011,54,10.9
2023-10-13 07:00:00,20231011,55,11.1
2023-10-13 08:00:00,20231011,56,11.0
2023-10-13 09:00:00,20231011,57,10.9
2023-10-13 10:00:00,20231011,58,11.0
2023-10-13 11:00:00,20231011,59,10.6
2023-10-13 12:00:00,20231011,60,10.7
2023-10-12 01:00:00,20231012,1,14.7
2023-10-12 02:00:00,20231012,2,13.1
2023-10-12 03:00:00,20231012,3,12.2
2023-10-12 04:00:00,20231012,4,11.6
2023-10-12 05:00:00,20231012,5,11.0
2023-10-12 06:00:00,20231012,6,10.5
2023-10-12 07:00:00,20231012,7,10.1
2023-10-12 08:00:00,20231012,8,9.9
2023-10-12 09:00:00,20231012,9,9.4
2023-10-12 10:00:00,20231012,10,10.5
2023-10-12 11:00:00,20231012,11,10.7
2023-10-12 12:00:00,20231012,12,10.5
2023-10-12 13:00:00,20231012,13,10.3
2023-10-12 14:00:00,20231012,14,10.3
2023-10-12 15:00:00,20231012,15,10.1
2023-10-12 16:00:00,20231012,16,10.3
2023-10-12 17:00:00,20231012,17,11.0
2023-10-12 18:00:00,20231012,18,12.5
2023-10-12 19:00:00,20231012,19,13.8
2023-10-12 20:00:00,20231012,20,14.9
2023-10-12 21:00:00,20231012,21,14.8
2023-10-12 22:00:00,20231012,22,15.3
2023-10-12 23:00:00,20231012,23,16.1
2023-10-13 00:00:00,20231012,24,13.5
2023-10-13 01:00:00,20231012,25,12.7
2023-10-13 02:00:00,20231012,26,11.9
2023-10-13 03:00:00,20231012,27,11.3
2023-10-13 04:00:00,20231012,28,11.0
2023-10-13 05:00:00,20231012,29,10.1
2023-10-13 06:00:00,20231012,30,9.1
2023-10-13 07:00:00,20231012,31,8.6
2023-10-13 08:00:00,20231012,32,8.3
2023-10-13 09:00:00,20231012,33,7.9
2023-10-13 10:00:00,20231012,34,7.7
2023-10-13 11:00:00,20231012,35,7.4
